用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
肥宅王大橘,保密,"car车
pet宠物
carpet地毯",,1级评论,6,5083,2025-03-26 11:10:25
陆木森森,保密,天赋型选手,肥宅王大橘,2级评论,6,235,2025-03-26 11:14:53
bili_73108976567,保密,回复 @今日浪费中 :联想记忆法记不住单词说明联想的不对[滑稽],肥宅王大橘,2级评论,6,7,2025-03-28 12:00:00
nocffo,保密,小学时见到一只猫被货车压死，眼珠子飞我裤腿上来了😭,,1级评论,6,2411,2025-03-28 17:12:17
莉雅迪-戴安特,保密,那很惊悚了,nocffo,2级评论,5,262,2025-03-28 19:09:11
希儿守护世界,保密,好有冲击力的一句话,nocffo,2级评论,5,530,2025-03-28 19:10:38
莫自叹凄凉,保密,猫脑子不如狗聪明，猫看见车第一反应是弓背哈气，狗看见会躲。我也压死过，高速上猫突然从高速中间的草丛里跑出来，当时是双车道我右边后边都有车，打喇叭它就往那一站咆哮，然后就压死了,,1级评论,5,3145,2025-03-26 10:08:45
今天森森吃什么,保密,猫：吼吼，不逃跑反而向我走来了吗，,莫自叹凄凉,2级评论,5,981,2025-03-26 12:06:16
莫自叹凄凉,保密,回复 @今天森森吃什么 :猫是真的低能儿，刚才开车回来也是，一只野猫在我车前面打个喇叭我看它朝右边跑了就继续开，车身一晃我就知道就是猫又进车底了，回头一看还真是,莫自叹凄凉,2级评论,5,319,2025-03-26 13:50:45
bili_2769027165,保密,"在马路上看到的饼的概率
猫饼>鸟饼>鼠饼>狗饼>人饼",,1级评论,5,1218,2025-03-27 09:36:00
正教大祭司-office,男,后面那俩太大,bili_2769027165,2级评论,4,163,2025-03-28 12:43:43
超级大白鼠攻毒这一块,保密,蛇饼呢,bili_2769027165,2级评论,6,77,2025-03-28 17:50:43
芝士赤辣猪排堡,男,"狗：这大铁疙瘩只是过路的，我往旁边走一走就没事了。
猫：大铁疙瘩敢不敢跟我比划比划！",,1级评论,6,1144,2025-03-25 18:11:48
鳞之角-,男,哈！,芝士赤辣猪排堡,2级评论,6,84,2025-03-28 15:03:36
斯蒂芬-OvO,保密,哈！~（抿嘴舔鼻子）,芝士赤辣猪排堡,2级评论,6,4,2025-03-29 22:46:03
bili_51785748,保密,"之前在国内开车时，路上常常看到被压扁的小猫，非常可怜。
澳洲就完全不一样，
你不仅能看到被压扁的小猫，还有被压扁的袋鼠，火鸡，袋熊和各种小动物。",,1级评论,6,966,2025-03-31 09:18:29
晓晓酥丶,保密,后面那几个叫小动物？撞上车都得撞烂了吧,bili_51785748,2级评论,6,70,2025-03-31 13:47:16
一曲终焉花尽落,保密,回复 @晓晓酥丶 :压路机：嗨嗨嗨，来了嗷老弟,bili_51785748,2级评论,6,40,2025-03-31 17:24:18
