用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
大份咸鱼粥,保密,只要是关注过一个区域猫数量的人，都知道领养是绝对领不完的。假如有人想要我们小区的猫，要几只有几只，要奶牛有奶牛，要大橘有大橘，供求关系严重不平衡[辣眼睛],,1级评论,6,4009,2021-09-01 17:46:36
量子老头_爱因斯坦,保密,那我想要赛级缅因（大雾）[doge],大份咸鱼粥,2级评论,6,427,2021-09-01 18:06:52
泪洒落悲哀,男,回复 @量子老头_爱因斯坦 :你要求真高。[吃瓜],大份咸鱼粥,2级评论,5,53,2022-09-30 19:47:59
米糊迷糊,保密,家里的猫要换粮了，本来想把剩余的猫粮喂小区流浪的，还好刷到这个视频。感谢UP，你发视频是有意义的。,,1级评论,6,3769,2021-09-03 10:15:25
增高鞋垫的忧伤,保密,猫粮剩下的也可以混着吃，猫一般七天换粮,米糊迷糊,2级评论,6,213,2021-09-03 21:50:20
米糊迷糊,保密,回复 @增高鞋垫的忧伤 :是去体检了说之前的粮不消化才给他换的，混着吃是不是不好呀……,米糊迷糊,2级评论,6,131,2021-09-05 13:41:02
凝蓝一一,保密,本爱猫人士已经一键三连啦，up说的很好，也让我了解了很多我之前不知道的关于流浪猫的的科普，有时候人们的偏爱会让人不讲道理，也会让人失了智，所以理智爱猫，从我做起[OK],,1级评论,6,2988,2021-09-02 17:21:19
清川啦,男,善于倾听的人，其性格也总是如春天的微风一般温婉和煦，当我翻遍了评论，懊恼于人们的嗔怒和诽言时，看到你的话让我久违的平静了下来，谢谢你陌生人，你的和善，正是我遗失已久之物[OK],凝蓝一一,2级评论,6,344,2021-09-02 17:30:00
招财的福禄寿喜茶,保密,回复 @清川啦 :提出质疑和不同意见不代表恼怒，合理的摆事实讲道理都是有助于解决问题办法的多元性,凝蓝一一,2级评论,2,67,2021-09-02 17:38:31
我这是哪儿哪,保密,"收容流浪猫自养or开放领养✔️
扑杀or集中捕杀✔️
TNR✔️
投喂但不绝育✖️
弃养猫造成更多流浪猫的产生✖️
虐杀猫并且以维护生态当作借口✖️",,1级评论,6,2492,2021-09-06 20:21:56
呜呜呜你干嘛咬我,男,有一条错了，投喂是非常错误的一种做法，应该换成收养不放养加绝育,我这是哪儿哪,2级评论,6,206,2023-05-15 14:25:44
我这是哪儿哪,保密,回复 @李小龙是中国人 :你注意后面打了叉,我这是哪儿哪,2级评论,6,57,2023-05-15 21:31:04
-阳阳得意有癖癖-,保密,"是这样的，真的很想说一下，up视频的初衷是：

警醒✅
解释虐猫者的正义使命❌

一些弹幕真的触目惊心……",,1级评论,6,4964,2021-09-04 08:42:29
倚栏杆,保密,up，流浪猫破坏生态环境确实应该清理，但这不是很多人虐杀它们的理由。,-阳阳得意有癖癖-,2级评论,6,347,2021-09-15 22:22:13
幻想撒手,男,回复 @倚栏杆 :别偷换概念，即便是鸡鸭鱼牛羊猪，你虐杀都是无法被人理解的。虐杀本来就是降低道德标准的事，不分物种，都会被谴责。,-阳阳得意有癖癖-,2级评论,6,409,2022-04-06 01:53:48
