用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
淺桜緋媣,保密,不懂就问，为什么这会被下,,1级评论,5,159,2025-03-24 11:27:32
磨修_羅生,男,回复 @六包米 :宣传这种东西不太好吧,淺桜緋媣,2级评论,5,15,2025-03-24 14:03:09
六包米,男,b站和街猫合作，不让有虐猫。爱猫tv哈基米音乐现在都禁了,淺桜緋媣,2级评论,5,189,2025-03-24 11:59:25
依旧范特吸,男,看片都没有这么想穿越过去[笑哭][笑哭],,1级评论,6,24548,2025-03-24 02:38:57
张狗-张狗,男,回复 @哇啦哇啦-水晶虫 :并非菩萨，ta之后把这猫打了一顿，嘴巴打出🩸的,依旧范特吸,2级评论,6,1208,2025-03-24 08:48:13
哇啦哇啦-水晶虫,保密,给自己抓见血了，都不肯给猫来两棒子，不知道的还以为菩萨来了[藏狐],依旧范特吸,2级评论,6,1902,2025-03-24 08:15:04
网友水顺祈,男,原作者属实是输麻了，像圆头这种绝世基米出个训猫日记天天流量吃到爽，表情包都火出圈了，心情不好的时候爱一下还能给自己提供情绪价值，可惜库里南就这么跑了,,1级评论,6,475,2025-04-19 16:35:09
bili_26426938254,保密,你看这个家里像缺钱的吗,网友水顺祈,2级评论,4,54,2025-04-19 23:10:33
冰红茶和冰绿茶,男,因为写论文，跟丁老爷表弟一样，知识改变命运了属于是。,网友水顺祈,2级评论,5,107,2025-04-19 23:14:16
阝可灰,保密,作者倒是挺可怜的，在红薯上被帽小子骂惨了，没有人想过这只哈集米都干了些什么,,1级评论,4,1991,2025-03-30 13:05:12
浮舟渡,保密,虐猫的骂她养，养猫的骂他虐，太搞了,阝可灰,2级评论,5,819,2025-03-30 13:51:22
并不会打游戏的我,保密,回复 @浮舟渡 :一根筋变两头堵了,阝可灰,2级评论,6,99,2025-04-05 00:46:50
゙漓七,保密,原作者现在被🍠的mxz骂略耄区了，做好事现在被两边骂[笑哭],,1级评论,5,1132,2025-03-28 20:17:52
海盐方糕,男,原作者白手套与马犬，会投喂猫并给猫做绝育，讲真在道德水平完爆爱猫略猫两界,゙漓七,2级评论,6,291,2025-04-01 23:36:42
本子蘑法使,保密,回复 @海盐方糕 :所以刷见猫来平衡了[笑哭],゙漓七,2级评论,3,49,2025-04-05 15:27:52
皮特_格里芬,男,要是能叫我碰到就好了，我有充足的时间陪它玩，保证让我和它都高兴,,1级评论,5,10241,2025-03-24 13:08:04
拟嗣,保密,世界上还是好皮特多,皮特_格里芬,2级评论,4,957,2025-03-24 13:22:47
白子爱单车,女,回复 @拟嗣 :估计到时候就给入了,皮特_格里芬,2级评论,4,348,2025-03-24 13:36:09
维吉尔兔糕糕宝宝咪,女,这种橘猫真的哈人，我家的原来也是流浪猫，直接从小区拽回家了，从来不哈人不飞机耳，不然早一脚上去了[藏狐],,1级评论,6,1635,2025-03-25 13:34:14
维吉尔兔糕糕宝宝咪,女,回复 @山见雾 :幻影哈基大师是吗，有点意思[坂本_佛系],维吉尔兔糕糕宝宝咪,2级评论,6,52,2025-03-25 20:23:39
山见雾,保密,捡到哈基高了，这一脸慈祥,维吉尔兔糕糕宝宝咪,2级评论,5,646,2025-03-25 17:48:01
-小555-,男,野猫野性比较大的基本都是在区域里的霸主，不过为什么评论区里一堆想虐猫的，这种尽量用扫帚赶走才是，被抓到得打疫苗的。,,1级评论,5,110,2025-03-24 17:16:19
