用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
蚁界大战4202,保密,复合弓毕竟太危险，可以用弹弓+钢珠,,1级评论,5,2726,2023-10-02 17:48:49
小小小名不是小明,保密,都不太行，射活的到乡下郊区去差不多，杀流浪猫的话，药的最好,蚁界大战4202,2级评论,6,54,2024-01-24 03:31:25
汽车人指挥官,男,懂了，先疏散人群，再进行复合弓启动！,蚁界大战4202,2级评论,5,116,2024-01-29 03:45:08
楓糖777,女,笑点解析：合肥射击精英邀请赛,,1级评论,5,3986,2024-02-07 10:46:34
゚゙゚゙゙゚゚゙,男,合肥射击音金邀请赛,楓糖777,2级评论,5,134,2024-05-02 06:33:01
深渊使者,保密,可能是抢他靶子了。,楓糖777,2级评论,6,51,2024-06-27 23:27:38
f2gt一ybc,男,"小伙错误1，使用的事碳纤维箭，一根价格是哈基米七倍，打出去有无法回收的风险，建议换弹弓或者扁皮
小伙错误2，弓对了没有用狩猎箭头对击杀率会造成影响，建议下次好好改正",,1级评论,6,3567,2024-03-27 09:25:55
空逸恒,男,哥们，我买的弹弓准度和威力都太差了，有没有推荐的,f2gt一ybc,2级评论,6,4,2024-04-16 23:53:07
Vietnam中年报,男,回复 @空逸恒 :有没有可能，是你应该加强训练,f2gt一ybc,2级评论,6,14,2024-06-11 09:52:49
张颖超simi,女,今天救鸟明天救人,,1级评论,5,2484,2024-04-16 09:54:47
路过の牢茶,男,还挺有道理,张颖超simi,2级评论,6,58,2024-04-19 22:00:31
百变小伟,男,鸟好！人也好！猫坏！,张颖超simi,2级评论,6,91,2024-12-09 21:51:09
枫夜独书,男,"哈基米:瞄吾
弓箭手:好👌🏻",,1级评论,5,2309,2024-10-26 21:27:12
网友赤顺怒,男,笑嘻了！,枫夜独书,2级评论,5,50,2024-11-04 14:12:28
RheIA_a,女,喵呜,枫夜独书,2级评论,6,11,2024-11-09 15:08:36
神-无敌之道,男,小时候不理解街猫，长大诋毁街猫，现在佩服街猫[星星眼]一边收割猫小子的钱，一边给爱猫人士提供素材固定刷新点，实现了真正的人人有猫爱👍,,1级评论,6,2851,2024-03-08 22:20:17
