用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
吾还是喜欢汝,保密,"你可以报警，你可以提供线索。
但唯独不能私刑公民，这是犯罪。",,1级评论,2,981,2023-03-03 14:35:50
beforovoer,保密,人贩子，如果证据确凿，那应该会表扬发见义勇为的旗子吧，但是虐猫，不一样，毕竟在法律层面猫没有主权，人是有主权的，虽然该打，但是打完的后果，就拿视频里面的人来讲，还要跟他道歉，赔偿，得不偿失啊,吾还是喜欢汝,2级评论,6,160,2023-03-03 18:14:53
凡间渔夫,保密,回复 @beforovoer :如果法律法规没有规定虐猫犯法，那你动物保护组织有什么权利去对人动用私刑限制人家人身自由，随意殴打他人。再说了虐猫把视频上传网络已经处犯了社会治安管理处罚法公安机关可以处理教育这个虐猫人，你一个动物保护组织没有任何权利动用私刑。我反感的不是这些保护动物组织为保护动物发声我反感他们目无王法的行为，还有那些高速公路上拦截人家运狗的爱狗人士我都挺反感的好不估计国家法律法规和他人人生安全即便是虐猫人该死那处刑的也不应该是个人。在我眼里他们就是打这保护动物的名义来泄愤的人。真正爱护动物的人连动物都不肯伤害会伤害一个活生生的人吗？你品品我说的话有没有道理。,吾还是喜欢汝,2级评论,5,52,2023-03-03 19:32:37
账号已注销,保密,有次看到有个男的在闲鱼上借领养之名把猫骗到手，然后威胁对面女生发裸照，不然就虐猫，警察抓到的时候我kztm丑。这叫个buff叠满,,1级评论,0,3183,2023-03-01 22:33:29
yzyz511,保密,这人是那种浮夸剧情的hs看多了，觉得自己也可以在现实中操作。,账号已注销,2级评论,6,177,2023-03-02 14:33:01
账号已注销,保密,回复 @yzyz511 :你这么一说，还真长得像日本男优（我有一个朋友说的[doge]）,账号已注销,2级评论,0,42,2023-03-02 17:49:28
GVJLK,女,外国有个虐待动物的，把视频发到网站，后面把一个男的，骗到家杀害了，被杀害的那个是华裔,,1级评论,6,2466,2023-03-01 22:12:46
玄德君,保密,不是“华裔”，就是中国留学生吧。,GVJLK,2级评论,6,238,2023-03-01 22:14:15
HolIowKnight,保密,和哪国人没关系，这种就是纯纯的心理变态了，不管在哪碰到这种人都得躲远了，他今天对着小动物折磨虐杀鬼知道哪天虐杀动物不能满足他了他会不会杀我,GVJLK,2级评论,6,52,2023-03-02 18:19:32
l评论已不存在l,保密,这是非法限制他人活动与暴力威胁他人就范，还拍视频发网上造成精神伤害，我希望严惩这几个拍视频的人。从重处理,,1级评论,5,448,2023-12-09 09:30:41
