用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
刘大王A,男,靠！！！！！！我就是送外卖的，我工作时都随身带着猫条，希望能勾引到小猫猫，就这样很多时候还只能挤出来远远看猫猫吃，根本吸不到。这个世界下限好低啊[大哭][大哭],,1级评论,6,11777,2021-10-26 19:26:24
磨洋工选手,保密,你好善良呀 希望你每都过得开心😃,刘大王A,2级评论,6,331,2021-10-26 19:46:21
读罢头飞雪_,女,吸不到也有好处，小动物还是警惕性高一点才能避免各种危险，太可怕了这种事情[大哭],刘大王A,2级评论,6,288,2021-10-26 20:03:23
adventjinyan,保密,这跟喜不喜欢猫无关。这种成年了还控制不好情绪通过暴力虐杀方式来宣泄的，真不适合做外卖以及其他能获得他人地址信息的工作，何况这还是个知道伪装自己意图欺骗的对方的。尽管法律无法强制限定他，但望周围人点外卖时小心。,,1级评论,6,18720,2021-10-26 22:45:58
君羡鱼,保密,这货后来还回去，想把猫带走吃了。被邻居赶走了。Md，这人太邪恶了，,adventjinyan,2级评论,6,1094,2021-10-26 23:08:07
安安安书,男,回复 @爱养鱼做模型的嘿嘿嘿 :你只要明白一个道理，自己犯的错误就得买单。他有不公可以申诉，而不是用这种方式。更何况这是服务行业懂么，不是贬低的意思，但受不了气就请去搬砖,adventjinyan,2级评论,6,76,2021-10-27 00:07:05
贝方歌子大王,男,现在好了，不仅死了一只猫，还要再死一个人[doge],,1级评论,6,318,2021-10-26 19:42:25
神圣小三拳,保密,回复 @bili_11914840143 :我工作多年了，看到这种情况，确实是这么想的,贝方歌子大王,2级评论,6,24,2021-10-26 22:59:29
再来一碗馄饨o,保密,回复 @bili_11914840143 :[无语]正常人能干出这事？做错了受罚不应该？,贝方歌子大王,2级评论,6,13,2021-10-27 02:02:51
汤和-Tangh,男,昨天在一个相关视频底下看到一条评论，大致的意思是“这种行为很正常，压力大了，好人会选择杀猫，坏人会选择杀人”[微笑],,1级评论,6,538,2021-10-26 18:53:11
积慕慕,保密,这种我回过：生活这个苦海是无涯的，天天杀猫也会有压力来，杀多了还麻木不刺激，那怎么才能拯救这些“好人”呢？拥有大智慧的你一定也慈悲为怀，感悟了我等愚昧凡人无法体会的“压力大于生命”，为了拯救“好人”脱离苦海你一定愿意舍身给予他们更大更多刺激。,汤和-Tangh,2级评论,6,26,2021-10-26 21:52:24
那时丶秋天,保密,好家伙，好人竟然是杀猫，那咱们都是圣贤了[捂脸],汤和-Tangh,2级评论,5,34,2021-10-26 22:29:42
佚和泽尔,保密,"那请这件事也关注一下吧
BV1ZQ4y1D7mr
我觉得学生应该至少和猫猫是同等重要的🙇🙇🙇",,1级评论,6,320,2021-10-26 19:47:34
草莓味大大包,保密,自信点，比猫重要多了,佚和泽尔,2级评论,6,33,2021-10-26 19:48:22
筱雨RAINART,保密,这事儿更重要，顶上去,佚和泽尔,2级评论,6,6,2021-10-26 20:12:14
对殺人狂指控,男,社会性病态三要素：虐杀动物、纵火、超过年龄段的尿床  如果有人虐杀动物或表现出觉得虐杀动物没有什么过错，这种朋友谨慎交往，说明他/她的共情能力在生理或心理因素的影响下比正常人低很多。甚至可能会因为觉得刺激的快感去虐杀动物而不愧疚。也是一些穷凶极恶的杀人取乐的连环杀人犯的特征之一。,,1级评论,6,2317,2021-10-26 21:51:44
我是个伪肥宅,男,我想问一下超过年龄段的尿床关病态什么事？这难道不应该是身体原因吗？,对殺人狂指控,2级评论,6,102,2021-10-26 21:52:57
蘑菇肉包子,保密,尤其是虐猫的 忘记是哪里看到过的采访 里面就有问到为什么更爱虐猫（大倾向小猫   ta说是因为猫的叫声听起来像小孩子的哭声 软软的手感也像 真的不寒而栗,对殺人狂指控,2级评论,6,85,2021-10-26 23:23:24
百合会会长,男,我一帧一帧看了，没有任何过激反应，也就是说猫并没有抓他。根据视频中间男子起身时将手机插回口袋大胆推断可能是有什么不好的消息，比如脑袋绿了之类，随后迁怒于猫。该男子起身时还左右看，可以说明是故意的了[辣眼睛]，自身任何的愤怒都不应该迁怒于不相干的事物，这样只会使自己越来越糟[OK],,1级评论,6,1579,2021-10-27 09:25:02
玄武爱吃鱼,保密,是的，这种猫通常有人喂有人理的，估计从这边经过的人都会摸摸它或者给它吃的，所以毫无防备的走过去，我心碎了,百合会会长,2级评论,5,77,2021-10-28 03:58:40
牙戾错觉01230,男,反社会人格都喜欢说谎，说别人先伤到他，ta是被迫还手的，然后就有了借口[妙啊][歪嘴][doge],百合会会长,2级评论,5,46,2021-10-29 11:53:14
Customshopf,保密,他把猫摔下去的那一瞬间，我的脸就开始发烫了，然后全身也开始发烫，眼前变成黑白，好一阵才缓过来。清醒过来就忍不住流泪。我有十几年没有这样生气了，我不知道是怎么样的内心才能做出这样的事，一万条猫的性命都不及一个人的性命，我是理性的，但他不是人。他的行为侵犯了这个世界上绝大多数人的普世情感，让我感到极其的愤怒。疫情的时候我回老家，认识了家里养的一只黑猫，相处了45天，后来它生病因为疫情正严重小镇封锁，我没办法带它看病，然后它在我眼前挣扎了7天痛苦的走了，为此我哭了3个月，每天晚上彻夜难眠，蒙着被子哭，今天又看到这个，我不知道又要多久才能缓过来，今天晚上注定睡不着了！,,1级评论,6,1333,2021-10-27 08:50:46
老南瓜瓜瓜,女,有可能是PTSD，可以去看看心理医生，会好的[拥抱],Customshopf,2级评论,6,20,2021-10-27 13:28:45
丢了个猫猫桃,保密,我也是。。。共情能力太强真的很难受,Customshopf,2级评论,6,19,2021-10-27 13:34:45
Miikas,保密,我个人没养猫，没那个时间跟财力，但是又比较喜欢猫，平时特别想撸猫，周围又没谁家有养，所以每次在街上店里看着店家有猫都特别想撸，可是一般的猫看见陌生人都躲得远远的。前不久在外面饭店吃饭，老板养了只猫，竟然不怕人，还往人身上蹭，我简直如获至宝，摸头挠肚子，弄了个爽，还用塑料手套逗它玩，就感觉心中圆满了[妙啊]那种满足感油然而生，爽的不行。而视频里这位，简直禽兽不如[微笑],,1级评论,5,589,2021-10-26 18:20:53
秋叶三三i,保密,我是学生没能力养，楼下小超市养了只猫，没事就去白嫖，猫咪很亲人，每天去摸就大概像视频这男的一样操作，下次去超市一定要给老板看看，让他多注意点,Miikas,2级评论,6,34,2021-10-26 18:34:53
账号已注销,保密,您好[doge]逮捕阿伟,Miikas,2级评论,0,0,2021-10-26 19:01:19
凌伟GieGie,男,出动物保护法是不可能的，盆友们。这种我们只能在道德上谴责，现在只保护濒危的物种，实在没啥办法。动物保护法如果真的出来了那就会出现很多很多的问题，比如广西狗肉节，有的地方还有龙虎汤，人是可控的，动物是不可控的，假如有人用动物来碰瓷呢，,,1级评论,6,108,2021-10-26 19:00:01
山原海,男,给宠物上牌照就不会有这么多随意的弃养和虐待了，说白了还是没有余力管,凌伟GieGie,2级评论,6,1,2021-10-27 09:41:54
AESTHETICSFIRST,保密,在古埃及杀死猫是要判极刑的，因为古埃及是一个爱猫的国度，在中国很多人喜欢猫，却没有这样的法律保护。[辣眼睛],凌伟GieGie,2级评论,6,2,2021-10-27 20:56:54
我叫组织,保密,"评论区的某些推论有点离谱好吧。
就事论事不行么？
今天虐猫，明天就能杀人？
那是不是后天就“把大道都磨灭了”？",,1级评论,6,50,2021-10-26 20:35:30
小鸟游六花-rika,保密,如果真的一群人去网暴的话才更有可能杀人把,我叫组织,2级评论,5,9,2021-10-26 20:55:44
元宝与鼠标,保密,虐猫的重点不是虐猫，而是从他熟练的引诱欺骗再瞬间变脸的过程中，大家感受到了熟悉的恐惧。,我叫组织,2级评论,6,5,2021-10-29 04:55:23
M喵喵龙,保密,让我想到大学的时候一个所谓的“人”，因为跟女朋友分手，用开水把女朋友的猫烫了，然后还撒调料什么的，最后虐杀了，最关键我还跟这个人合租过……想想都可怕[囧][囧][囧],,1级评论,5,8141,2021-10-26 19:02:26
斩敌酋筑京观,保密,我从12岁开始就再没有养过猫。因为害怕又一个生命在我手中流逝。那时是9岁，姑父送来的一只小猫，很可爱，我那时非常喜欢。有我一口肉吃就有小猫一口肉吃，因此我患上了猫癣[笑哭][笑哭]就这样过了二年多，那天，我刚放学，因为天冷且那时还在农村，家里的炕上挺暖和，我上了炕却无意见踩到被子里的小白，只听见一声凄厉的嘶鸣。自那次之后。小白就病怏怏的。那时候农村人也没有看宠物医生的习惯，小白最终还是没有熬过那个冬天。从此我就再也不养猫了。,M喵喵龙,2级评论,5,13,2021-10-27 03:00:21
现充加班中卫星,保密,豆瓣小组看到一个人吐槽室友，说室友在宿舍养猫，半夜猫打翻了什么把大家都吵醒了，大家就叫她下去打扫一下，她特别不情愿的下去了，第二天在宿舍楼底下把猫活埋了……活埋了[灵魂出窍],M喵喵龙,2级评论,6,8,2021-10-27 08:15:11
我想做个好银,保密,可能是我年纪大了，麻了吧，不影响到我别人做什么都不管不问很累了平时真的,,1级评论,6,17,2021-10-26 19:59:34
摸鱼de斯卡蒂,男,确实...,我想做个好银,2级评论,6,0,2021-10-26 20:09:46
颜色不一样的翔,保密,希望各大网约车平台也能把他禁了，不然我怕,,1级评论,5,4964,2021-10-26 18:26:12
花氏柠檬片,女,太对了,颜色不一样的翔,2级评论,5,5,2021-10-26 18:47:04
账号已注销,保密,"不要这样搞，会造成更严重的后果。不能这样简单的禁用了事，这样的人走向社会可能会害人。
外卖公司这种粗暴的开除方式真是不负责任，应该积极的给予心理疏导。",颜色不一样的翔,2级评论,0,386,2021-10-26 21:59:54
JAAYCHOU,男,我艹,,1级评论,6,13,2021-10-26 18:03:16
小猫挠屁股,女,看了这个标题，我不敢点开视频，我光看评论都难受死了，不敢想象。[委屈],,1级评论,6,13,2021-10-26 22:23:10
sqsblbl,男,我这个人内心虽然是有点冷漠无情（注重看利益的那种），但是说句实在话，看着那个猫在地上抽搐我是真TM的想钻进屏幕打死那个男的，妈的，以后我见着这样的我非得上去给他两下不行的，妈的真把我气到了。女生可能很害怕和震惊，我更多的是愤怒,,1级评论,6,13,2021-10-26 18:33:18
盈萨玛,保密,刚刚看到这男的的回应“那个猫把我的手挠了好长一口子，我没控制住就，现在也后悔我工作都没了我学历不高不好找工作家里又是农村的”。。。呵呵感情农村人的脸都让它丢尽了,,1级评论,6,4835,2021-10-27 14:42:49
折耳呗,女,哪天会不会“那个客户给我了个差评，我没控制住就，现在也后悔我工作没了我学历不高不好找家里又是农村”不管是谁就是应该控制好自己的情绪，的亏杀人犯法，不然它绝对会把自己的愤怒撒在别人身上[捂脸]顺带还把农村人侮辱了，说得农村人都跟它似的一样残暴，我回乡下老家常常看到别人家的猫养的胖胖的呢，这种人真的让我无语[捂脸],盈萨玛,2级评论,6,755,2021-10-30 11:27:38
柴油车-,保密,哪里看到的呀,盈萨玛,2级评论,5,3,2021-10-30 12:08:05
刘水儿ryuusui,保密,我更想知道这人是不是经历了什么,,1级评论,6,12,2021-10-26 18:04:43
黑人小猪,男,这种人如果外卖给差评会有生命危险吗[辣眼睛],,1级评论,6,3398,2021-10-26 18:12:03
田点xh,女,其实拍的热心网友感觉就有生命危险，外卖员天天在那几个小区送，细心点可以推出拍的人的地址[Cat2_EatDonut],黑人小猪,2级评论,6,55,2021-10-26 18:46:37
后季常,男,想想他知道你手机家庭住址甚至家里有多少个人[囧],黑人小猪,2级评论,6,89,2021-10-26 19:02:39
开压路机的吸血鬼,男,只有我没敢点开视频吗[tv_流泪][tv_流泪][tv_流泪],,1级评论,6,11,2021-10-27 08:33:35
开压路机的吸血鬼,男,见不得美好的事物被摧毁[藏狐][藏狐][藏狐],开压路机的吸血鬼,2级评论,6,0,2021-10-27 08:34:04
带带大白龙,保密,因为一只猫就丢了工作…,,1级评论,6,15,2022-05-07 11:39:02
向往天空的猪,男,"曾经我有个跟我亦兄亦友的家伙，我以前觉得他很过分的。他既会在外面放个盆盆放着猫粮在角落喂野猫，但每次见到受他恩惠的野猫都是一个疯人样，他喂猫但又吓猫。
 “让它们知道人类是危险的就好。”
像我这种被鸡啄，被鹅夹，被狗咬，被猫抓的天选之倒霉孩子来说，和动物亲近是一件很困难的事情。
我当年也希望摸摸那些猫，但付出一定要回报这个概念根深于我的思想中的我来说，既然喂了它们，多少要和我们亲近点。
如今我理解那人，但我仍是那种希望和别的生灵有交集的可笑庸人。但平行或许才是最好的。
如果我们能相处久一些，或许我能多些富有哲学的感性，又或许这也是一种平行，又或者我也是被出于无聊而受益的猫呢？",,1级评论,6,1658,2021-10-26 20:03:44
萤火月铃,男,你的这位朋友的水平很高,向往天空的猪,2级评论,6,227,2021-10-26 20:53:07
冲天飞豹007,保密,亲人的猫猫大多活不长，除非被收养了。我有四只小流浪，自己养了一段时间后，他们很怕出门的，已经不会流浪了[藏狐]能在世上活的久的小流浪，都是小聪明。,向往天空的猪,2级评论,5,165,2021-10-26 21:33:23
月明倾潇,男,"这类事件经常会出现一些🐒🐒：那你别吃猪牛羊。
[辣眼睛][辣眼睛][辣眼睛]",,1级评论,5,764,2021-10-28 12:57:22
噔噔蹬蹬蹬三轮,保密,这是虐杀，换作是猪牛羊他依然是个变态,月明倾潇,2级评论,6,79,2021-11-02 13:39:22
改个破名6个硬币丶呸,保密,回复 @噔噔蹬蹬蹬三轮 :是啊  正常屠宰牲畜 都是比较人性化的（可能乡下屠宰会血腥点）,月明倾潇,2级评论,6,35,2021-11-03 09:58:33
炯囧有声,女,养猫的别往后看，我养猫的，在微博看了没打码的真的吓得浑身冰凉抱紧猫猫[大哭],,1级评论,6,10,2021-10-26 18:05:01
偷得浮生的猫,男,说点丧气话，一只猫的死亡热度比欧金中杀人案的热度都高😑,,1级评论,5,12,2021-11-03 18:25:56
麻瓜数码,女,后者因为热度被压了,偷得浮生的猫,2级评论,6,0,2021-11-04 09:51:38
偷得浮生的猫,男,回复 @秃头兔子用霸王 :所以说是丧气话，感觉人命还没猫命值钱,偷得浮生的猫,2级评论,5,1,2021-11-04 10:02:12
上好嘉852,女,这人是外卖员……他如果遇到顾客发生矛盾你们想想……我总在b站看连环杀手还有刑事案件分析很多人都是用小动物撒气练手……最后就会把自己的手伸向人……而且他是外卖员，地址知道很多……挺可怕的……看着小猫向他毫无防备的靠近亲近我真的难受,,1级评论,6,344,2021-10-27 09:49:04
心飞扬兮浩蕩,男,这种人内心扭曲，这次对小动物下手，加上被辞退，以后会不会对人下手呢[呆]，不敢想,上好嘉852,2级评论,6,17,2021-10-28 19:27:37
叶落时-,保密,外卖小哥,上好嘉852,2级评论,6,0,2023-03-10 19:42:37
没有鹅,保密,至少从从顾客的角度上说，我不可能容忍一个这样会欺凌弱小阴晴不定甚至有心理变态倾向的人来我家门口送外卖，我相信绝大多数人都会这么想。还有人觉得为了一只猫开除他委屈？开除真的是最基础的处理了，他根本连服务行业最基本的入行条件都达不到[无语]不管是碰到平时多温柔多聪明多开朗的人，只要他展现出凌虐倾向，一定要远离[无语],,1级评论,6,9,2021-10-27 17:16:33
大魔王袅,保密,看到评论里很多人拿虫子和猫狗相提并论，这两者完全不一样啊，猫狗是会有情绪表露的，舒服 生气 害怕这些情绪我们可以从猫狗那里感知到，所以对它们的痛苦也更能共情。这也就是为什么这个虐杀小猫的视频看着让人这么不舒服[呆],,1级评论,6,1132,2021-10-26 21:32:19
犬森いぬもり,保密,小心这些人，他们下一秒很可能就把猫当成虫子对待,大魔王袅,2级评论,6,7,2021-10-26 23:20:51
临平山花泽类,保密,"首先关于这个视频，引发社会反响我觉得最重要的一点是，这个视频让很多人不适，甚至一定程度上影响社会了，也就是社会里的人，这是重中之重的问题所在。

然后关于虫子，这跟杠不杠没关系，要说杠的话发表情也是杠。
二次元包括连续剧里有很多话，类似“臭虫就是臭虫”，“在我眼里，捏死你就跟捏死一只虫豸一样”。其实就是关于虫子的死，社会反响不大，
严格来说，是严重危害性不大，所以就相持中立了（这也是虐杀虫子的视频，包虐花式处理四害中的老鼠的视频能存在和传播的原因）

以上这些都是站在各种制高点，对于生命的蔑称。
情感表达也好，历史寄存也好，虫子有没有痛觉神经也好，都是借口。
反正我一直觉得虐杀虫子可以，虐杀猫狗不行，然后别拿虫子和猫狗相提并论的这种言论挺值得玩味的。

哪天猫狗进化长出蛆虫扭来扭去的样子，甚至对人类有害，
那时候可以不可以虐杀，应该还是看符合你的审美，包括联系你的情感吧？",大魔王袅,2级评论,6,13,2021-10-27 00:10:57
牧濑红莉栖ミ,男,昨天和群友探讨了一下这个问题，我没想到，群友和我说，觉得不应该开除他，是处罚过度了，他觉得人的权利高于一切动物，不应该为了这个事情开除这个人，顶多罚款就可以了。     我对此，表示十分不能理解，虽然说，我对这件事很生气，但我不能要求大家都是一样生气，但我想，作为一个正常人，你不生气就算了，没必要为这种虐待动物的人打抱不平吧。  结果群友说我圣母，说我这句话明显是舆论挟持他了。  他觉得没道理开除他，我就寻思了，tmd，你不去虐待动物，会开除你？  都是什么人，看在是群友面子，我没直接开骂都不错了，只能说充分交换了意见。  居然还有人为这种人说话，我也是三观震碎。,,1级评论,6,215,2021-10-26 18:47:22
攻落之妖,保密,你应该这样告诉你的群友：公司开除他是因为他的行为对公司造成负面的舆论影响，而不是他杀猫这个事情本身。以前我做实验的时候，老鼠痛苦地尖叫、颤抖，甚至后来见到我就应激，那些老鼠死的可比这只猫惨多了，也没人关心老鼠的感受。杀只猫而已，那些用来做实验的猫可没视频里这只死得这么干脆。视频里的人杀猫让公司受到了舆论压力，造成公司可能的经济上的损失，这才是他被开除的原因；杀只猫而已，仅仅靠这个理由开除肯定是不合理的。,牧濑红莉栖ミ,2级评论,5,95,2021-10-26 21:07:28
账号已注销,保密,确实很难说有理由开除，因为任何公司都要按法律按规章制度行事，能不能开除他主要看此行为有没有违法，有没有违反公司有关开除的规定，就算是罚款也是有规定，违反了哪一条就罚多少款，比如某公司规定迟到一次罚30元，旷工三日开除等，有违反就按规定处理才是公平合理，如果此人的行为未违反该公司的罚款和开除的规定，就没有理由罚款和开除，要法治不要人治,牧濑红莉栖ミ,2级评论,0,19,2021-10-26 22:46:12
maomaoyan123,保密,我想知道找到这个畜生不如的东西没有？有条件的时候我会救助，没条件的时候会给点粮，没粮的时候就绕着走看不了它们无助的眼神。不爱不要伤害这是对生命的尊重。,,1级评论,5,9,2021-10-26 19:38:32
Dilophosaurus,保密,"弹幕还有说要立法整治的눈_눈，这种事立法的意义先不说，怎么落实都是问题，人公安机关还要在百忙之中抽空查谁虐野猫吗
这人的过失充其量在道德层面，虐杀动物了，而且不把这事处理一下确实有违道德，会被舆论抨击
对于流浪猫，尽管有害生态但是不去喂就好了，猫能过来只能说是被喂惯了，对人产生了依赖性，太过亲近人也会带来抓伤孩童等危险",,1级评论,5,39,2021-10-26 19:38:15
_冰柠檬丶,保密,这就是摄像头的必要性，没有摄像头人都能给你杀了,,1级评论,6,103,2021-10-26 18:10:54
靖江节度使,男,该网暴不网暴~~~~~~~~~就知道帮明星洗白~,,1级评论,6,10,2021-10-27 07:07:35
艾欧泽亚在逃猫猫,保密,看到一种说法，不能因为猫可爱就怎么怎么样的，你不如逆向思考一下，如果一个人面对可爱的生物都能下这种手的话，这个人是多有问题[藏狐],,1级评论,6,262,2021-10-26 20:57:10
一路看看你,男,是不是以后谁惹了他，也跟猫一样下场，可怕！！,艾欧泽亚在逃猫猫,2级评论,5,7,2021-11-10 15:51:23
落子无悔29,男,回复 @一路看看你 :通常是这样的，人也是照打不误的[滑稽],艾欧泽亚在逃猫猫,2级评论,6,2,2021-11-15 03:42:48
_见过夏天,男,希望出门被泥头车碾得粉身碎骨[生气],,1级评论,6,10,2021-10-26 19:12:42
爱新觉罗翔太,男,"人的价值是远远高于猫狗的，我们首先要关心的是此人的心里状态问题和怎么帮助他恢复正常。而不是批评与指责。最好让他通过大家的教育和鼓励，再次成为一个健康的人。
你现在还小，以后就懂了",_见过夏天,2级评论,6,3,2021-10-30 00:25:32
池亠,保密,回复 @我吐子-我服子 :稍微给你讲点道理，你就回不上来了,_见过夏天,2级评论,5,0,2021-11-06 08:52:05
